ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
77125,BLUSAO                        ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,02/05/2023,7,02/08/2024,1,9721.0,1999.0,6,58326.0,87976.0,"50,83",14662.0,11381.0,1999.0,77125_100_0
4430,CAMISA                        ,12,Confeccao                     ,34,CAMISA                        ,100,UNICA                         ,16/04/2024,13,28/03/2025,2,7516.0,1598.0,11,41338.0,8789.0,"112,61",799.0,4033.0,799.0,4430_100_1
7301,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/05/2020,7,17/12/2020,0,0.0,0.0,6,2277.0,87491.0,"284,24",14581.0,3795.0,1499.0,7301_100_0
2610,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,19/04/2024,13,06/05/2025,0,0.0,0.0,12,2634.0,8748.0,"232,12",729.0,1756.0,899.0,2610_100_0
A190030445,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,26/11/2022,8,06/11/2023,0,0.0,0.0,7,26215.0,86934.0,"231,62",12419.0,3745.0,1499.0,A190030445_100_0
89661,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,10/10/2023,15,12/04/2024,0,0.0,0.0,15,4356.0,86862.0,"99,41",579.0,3117.0,599.0,89661_100_0
113595,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,10/10/2023,13,01/02/2024,0,0.0,0.0,13,46124.0,8689.0,"88,38",6683.0,3808.0,699.0,113595_100_0
80330009,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,29/10/2020,8,13/01/2021,0,0.0,0.0,9,25605.0,86699.0,"238,6",9633.0,2845.0,999.0,80330009_100_0
CL41643,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/08/2021,5,12/02/2022,0,0.0,0.0,5,7995.0,86572.0,"8,28",17314.0,15191.0,2799.0,CL41643_100_0
VECURTO,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,22/03/2024,7,06/01/2025,0,0.0,0.0,7,4550.0,8594.0,"88,88",12277.0,650.0,1299.0,VECURTO_100_0
284,CASACO                        ,12,Confeccao                     ,75,CASACO                        ,100,UNICA                         ,16/03/2023,11,21/06/2023,0,0.0,0.0,10,4590.0,8592.0,"87,19",8592.0,4131.0,899.0,00284_100_0
